Scenario,n_neighbors,training_length,intrusions,TP,TN,FP,FN, testing_length,T_WINDOW,minds_features,training_time,evaluation_time
6,5,500000,119656,2550,437178,117106,2080,558914,60,True,33,43
6,10,500000,112190,2011,444105,110179,2619,558914,60,True,44,49
6,20,500000,114008,2283,442559,111725,2347,558914,60,True,45,59
6,30,500000,113405,1907,442786,111498,2723,558914,60,True,51,60
6,10,300000,118869,2326,437741,116543,2304,558914,60,True,22,48
6,10,500000,112774,2344,443854,110430,2286,558914,30,True,41,51
6,10,500000,100172,2173,456285,97999,2457,558914,120,True,43,55
6,10,500000,70145,2245,486384,67900,2385,558914,60,False,30,30
6,10,9556026,123475,2926,433735,120549,1704,558914,60,True,2220,120
6,5,9556026,159460,3431,398255,156029,1199,558914,60,True,2220,120
6,5,9556026,256062,3424,301646,252638,1206,558914,300,True,2220,120
6,10,9556026,123475,2926,433735,120549,1704,558914,300,True,2220,120
9,5,9556026,898267,158723,77614,1162964,739544,2087495,60,True,,
9,10,9556026,683772,155667,1374403,528105,29320,2087495,60,True,,
9,20,9556026,550134,152039,1504413,398095,32948,2087495,60,True,,
9,5,9556026,1225130,152825,830203,1072305,32162,2087495,300,True,,
